epoch,train_loss,val_loss,time_s
1,0.32640907309907774,1.4898826003074646,553.9631326198578
2,0.15966151071993331,1.2755149602890015,563.8343696594238
3,0.14562492093393922,1.3439557194709777,555.7291700839996
4,0.13557702157250995,1.9149076700210572,556.8248872756958
5,0.12912635351193016,1.1429333329200744,549.3261866569519
6,0.12281486712521016,1.1731128334999084,572.0956521034241
7,0.12071772044597391,2.2133355379104613,576.5396564006805
8,0.11821249127388,1.6824038624763489,576.7253439426422
9,0.11593330122905071,0.8749390542507172,579.4088060855865
10,0.11499730239533845,0.8344239115715026,581.5375142097473
11,0.11234936634255521,0.9277812540531158,592.5629217624664
12,0.11130439227852741,0.8946818113327026,587.0007402896881
13,0.11106803809297817,0.9655819058418273,590.8209159374237
14,0.11132934373184289,0.9556719243526459,584.6426823139191
15,0.10985036851973506,0.9678815841674805,586.405965089798
