epoch,train_loss,val_loss,val_wer,lr,time_s
1,4.100011443560009,1.9446078883277045,0.9629235408905447,8.070000000000001e-05,940.7186894416809
2,1.5183663566168653,1.1563812255859376,0.7880669386789664,9.982742667198182e-05,950.624174118042
3,1.0735428695932787,0.9044690549373626,0.6603985571521495,9.90779846906662e-05,957.8531959056854
4,0.8711131172995585,0.7905961506896548,0.601501980959139,9.774354994297027e-05,952.1717703342438
5,0.7434088595885474,0.7003692766030629,0.555378156229673,9.584002494812013e-05,958.1973023414612
6,0.6532865207656166,0.6500038021140628,0.5207852876825735,9.339010417461396e-05,957.597443819046
7,0.5841884476396969,0.6050845255454381,0.48595588670096385,9.042298495769502e-05,952.9162940979004
8,0.5244502484650713,0.5711033046245575,0.4592277216013246,8.6974036693573e-05,955.3800849914551
9,0.4768134071924429,0.5424819591972563,0.44012772751463547,8.308437168598175e-05,953.5614542961121
10,0.43600576532522245,0.5372247338294983,0.43178995919815505,7.880035042762757e-05,955.5520830154419
11,0.3997059971500359,0.5075805922349294,0.4149370232393117,7.417303919792176e-05,956.7759819030762
12,0.36693535093333496,0.5029896749390497,0.39565962982673997,6.925759166479111e-05,959.6395087242126
13,0.3397630268091606,0.49043146404955124,0.3948908994145822,6.411260068416595e-05,953.3699412345886
14,0.31262862902074645,0.4874704576200909,0.38519306959966887,5.879939123988152e-05,960.8535146713257
15,0.29165289677504125,0.47814660105440354,0.37590917154514814,5.338129624724388e-05,957.5316710472107
16,0.27118507395077224,0.4767095539304945,0.3686357991839631,4.792289696633816e-05,955.3023178577423
17,0.25221131339466113,0.48003139462735916,0.37171072083259415,4.2489255964756016e-05,953.1009364128113
18,0.23628313095300763,0.4706669247812695,0.3614806930400331,3.714514076709747e-05,956.5952684879303
19,0.22108199277516485,0.47505979902214474,0.35929276802081483,3.1954252719879155e-05,956.0927803516388
20,0.20994208247171164,0.46469593346118926,0.35125066524747206,2.697845697402954e-05,956.8603739738464
21,0.19815672796491945,0.47226912213696376,0.35450298622198567,2.2277081012725832e-05,955.0155034065247
22,0.1844822142591707,0.4699311628937721,0.3494175388800189,1.7906147241592407e-05,955.5168261528015
23,0.17930553629163473,0.4675708575381173,0.34557388681923007,1.3917768001556398e-05,953.7782554626465
24,0.17109847509174098,0.46875220106707677,0.34521908816746494,1.0359469056129456e-05,956.8929288387299
25,0.1659860778900032,0.46554869843853847,0.3368813198509846,7.273679971694946e-06,958.1063783168793
26,0.16257226831814023,0.4629480830497212,0.3384187806753001,5e-06,954.8441052436829
27,0.16088329136482402,0.46047743360201515,0.3411980367807936,5e-06,958.9168574810028
28,0.16022139630722437,0.4637667251957787,0.3384187806753001,5e-06,953.5456676483154
29,0.15550077188635406,0.46698652737670476,0.33558039146117913,5e-06,957.6398594379425
30,0.1555665892628489,0.4724534014860789,0.3372361185027497,5e-06,957.846435546875
